Model,Pretrained,Augmentation,Accuracy (%),Loss
ResNet50,False,None,63.5,1.8065590292881852
ResNet50,False,GaussianBlur,64.84,1.6467296814385313
ResNet50,False,RandomErasing,66.46,1.666427450724684
ResNet50,True,None,70.69,1.1845532660476696
ResNet50,True,GaussianBlur,68.06,1.4880261586877865
ResNet50,True,RandomErasing,71.06,1.214751073156302
ViT-S16,False,None,23.08,2.123956789985632
ViT-S16,False,GaussianBlur,22.04,2.196196894295299
ViT-S16,False,RandomErasing,20.41,2.2805979670807957
ViT-S16,True,None,49.65,1.5354159723836394
ViT-S16,True,GaussianBlur,47.2,1.4969949242405998
ViT-S16,True,RandomErasing,44.29,1.5419280799433066
